VehicleID,NodeID,RequestTime,ReachTime,NodeType,LacationID
0,SO_0,0,0,0,60
0,PI_5,44,143.85,2,5
0,PI_0,0,156.225,0,0
0,DR_0,0,214.2,0,30
0,DR_5,44,262.05,0,35
0,PI_25,236,314.825,2,25
0,DR_25,236,362.275,0,55
0,PI_24,220,368.375,2,24
0,PI_28,262,401.675,2,28
0,DR_24,220,473.6,3,54
0,PI_23,208,539.65,2,23
0,DR_28,262,574.025,3,58
0,DR_23,208,722.575,3,53
1,SO_0,0,0,0,60
1,PI_2,24,137.05,2,2
1,DR_2,24,213.525,0,32
1,PI_9,66,283.95,0,9
1,PI_12,90,380.2,0,12
1,PI_27,244,544.9,2,27
1,DR_12,90,610.925,3,42
1,DR_27,244,686.5,3,57
1,DR_9,66,757.925,3,39
2,SO_0,0,0,0,60
2,PI_3,40,195.525,0,3
2,DR_3,40,235.375,0,33
2,PI_7,58,269.75,0,7
2,DR_7,58,331.45,0,37
2,PI_26,238,406.125,0,26
2,DR_26,238,456.7,3,56
3,SO_0,0,0,0,60
3,PI_4,42,175.325,0,4
3,DR_4,42,306.6,0,34
3,PI_22,200,344.5,2,22
3,PI_20,178,352.775,0,20
3,DR_20,178,401.275,3,50
3,PI_19,170,469.375,2,19
3,PI_18,156,507.275,2,18
3,DR_18,156,536.1,3,48
3,DR_22,200,587.625,3,52
3,DR_19,170,630.1,3,49
4,SO_0,0,0,0,60
4,PI_8,60,164.1,2,8
4,PI_11,80,181.025,2,11
4,PI_6,48,228.9,0,6
4,DR_8,60,280.15,0,38
4,PI_21,196,394.95,0,21
4,DR_11,80,479.4,3,41
4,DR_21,196,490.65,3,51
4,PI_29,280,543.05,2,29
4,DR_29,280,608.725,3,59
4,DR_6,48,654.275,3,36
5,SO_0,0,0,0,60
5,PI_10,72,144.975,2,10
5,PI_1,6,207.05,0,1
5,DR_10,72,233.375,3,40
5,PI_16,134,271.025,0,16
5,PI_15,120,277.725,2,15
5,DR_15,120,294.75,3,45
5,PI_17,146,337.65,0,17
5,PI_14,110,396.025,0,14
5,DR_14,110,421.375,3,44
5,PI_13,108,471.6,2,13
5,DR_16,134,549.3,3,46
5,DR_17,146,611.775,3,47
5,DR_1,6,628.1,3,31
5,DR_13,108,671.75,3,43
