VehicleID,NodeID,RequestTime,ReachTime,NodeType,Latitude,Longitude, LocationID
0,SO_0,0,0,0,40.7439,-73.9899,60
0,PI_3,40,195.525,0,40.7667,-73.9832,3
0,DR_3,40,235.375,0,40.7576,-73.9907,33
0,PI_7,58,269.75,0,40.762,-74.0017,7
0,DR_7,58,331.45,0,40.7497,-73.9876,37
0,PI_20,178,344.3,2,40.7478,-73.9852,20
0,PI_19,170,371.075,0,40.7531,-73.9855,19
0,PI_28,262,412.95,2,40.748,-73.9766,28
0,DR_19,170,488.775,3,40.761,-74.0023,49
0,DR_20,178,569.075,3,40.7434,-73.9963,50
0,DR_28,262,604.15,3,40.7352,-74.0018,58
1,SO_0,0,0,0,40.7439,-73.9899,60
1,PI_1,6,202.75,0,40.7224,-73.9971,1
1,PI_16,134,226.9,2,40.7256,-73.9921,16
1,PI_15,120,233.6,2,40.7269,-73.9915,15
1,DR_15,120,250.625,0,40.7305,-73.9901,45
1,PI_17,146,293.525,2,40.74,-73.9857,17
1,DR_16,134,367.675,0,40.7353,-73.9984,46
1,PI_23,208,391.225,2,40.7398,-74.0024,23
1,DR_17,146,462.225,3,40.7496,-73.9879,47
1,DR_1,6,478.55,3,40.7534,-73.9853,31
1,DR_23,208,542.7,3,40.7715,-73.9889,53
2,SO_0,0,0,0,40.7439,-73.9899,60
2,PI_6,48,171.45,0,40.7562,-73.9924,6
2,PI_12,90,219.725,0,40.7569,-73.9857,12
2,DR_6,48,260.325,0,40.7516,-73.9711,36
2,PI_22,200,307.25,0,40.7479,-73.9837,22
2,DR_22,200,348.425,3,40.7555,-73.9921,52
2,PI_25,236,377.55,0,40.7564,-73.9902,25
2,DR_25,236,425,3,40.75,-73.9825,55
2,PI_24,220,431.1,2,40.7493,-73.9838,24
2,DR_12,90,532.375,3,40.7294,-73.9914,42
2,DR_24,220,628.1,3,40.7457,-73.9938,54
3,SO_0,0,0,0,40.7439,-73.9899,60
3,PI_4,42,175.325,0,40.7334,-74.003,4
3,PI_9,66,217.7,0,40.7391,-74.0031,9
3,PI_14,110,254.175,0,40.7431,-73.9964,14
3,PI_13,108,295.75,2,40.7488,-74.0069,13
3,DR_14,110,354.9,0,40.7381,-74.0008,44
3,PI_26,238,399.625,2,40.735,-73.9918,26
3,DR_26,238,450.2,3,40.7329,-73.9862,56
3,DR_13,108,530.825,3,40.7512,-73.9725,43
3,DR_9,66,570.05,3,40.758,-73.9756,39
3,DR_4,42,597,3,40.759,-73.9785,34
4,SO_0,0,0,0,40.7439,-73.9899,60
4,PI_2,24,137.05,2,40.7417,-73.992,2
4,DR_2,24,213.525,0,40.7272,-73.9937,32
4,PI_10,72,258.65,0,40.7346,-73.9949,10
4,PI_21,196,302.7,0,40.7267,-73.9941,21
4,PI_27,244,372.525,0,40.7151,-73.9924,27
4,DR_10,72,438.2,3,40.7239,-74.001,40
4,DR_21,196,558.2,3,40.7416,-73.9752,51
4,DR_27,244,632.4,3,40.7423,-73.9908,57
5,SO_0,0,0,0,40.7439,-73.9899,60
5,PI_5,44,143.85,2,40.7496,-73.9953,5
5,PI_0,0,156.225,0,40.7509,-73.9927,0
5,PI_8,60,215.475,0,40.7581,-73.9752,8
5,PI_11,80,232.4,2,40.757,-73.9784,11
5,DR_0,0,252.9,0,40.7605,-73.9802,30
5,PI_18,156,266.65,2,40.7607,-73.9836,18
5,DR_5,44,306.3,0,40.769,-73.9822,35
5,DR_18,156,352.525,0,40.7581,-73.9779,48
5,PI_29,280,397.6,2,40.7535,-73.9898,29
5,DR_29,280,463.275,3,40.7628,-73.9751,59
5,DR_11,80,541.75,3,40.7425,-73.9782,41
5,DR_8,60,594.275,3,40.7492,-73.9878,38
